046 0.53
106 0.44
291 0.39
300 0.57
568 0.24
595 0.73
691 0.38
703 0.70
704 0.72
E12 0.49
G96 0.31
H01 0.22
H10 0.63
H26 0.54
H36 0.61
H45 0.33
J75 0.42
J95 0.41
